photoId,longitude,latitude,clusterId
5,100.754241,21.977434,0
183,100.146166,26.862333000000003,-1
276,97.849044,24.030159,-1
330,100.623779,21.94814,1
563,102.746114,23.154092,-1
620,100.151367,25.720735,2
697,100.0974,25.945058,-1
712,102.126159,23.051934,3
736,100.192565,26.870018,4
1077,100.145874,26.809363,5
1082,100.19826,27.105348,6
1112,100.202825,26.925686,-1
1197,99.618055,27.9875,-1
1228,102.748003,23.151645,7
1252,100.754241,21.977434,0
1281,100.233421,26.87844,8
1315,102.707319,25.051546,-1
1401,100.145874,26.809363,5
1413,99.698181,27.831789,-1
1425,100.203772,26.924744,-1
1428,102.7425,25.057666,-1
1434,99.704034,27.815732,9
1436,101.993293,23.57374200000001,-1
1459,102.738666,25.025833,-1
1547,102.768859,25.084743,10
1655,100.204839,26.922146,-1
1810,104.407036,25.008997,-1
1930,102.787255,23.124169,11
2064,99.832763,26.672004,12
2066,102.709402,25.035866,-1
2143,102.712383,25.112663,-1
2145,98.492431,25.028994,13
2177,102.748003,23.151645,7
2239,102.709894,25.035105,-1
2344,99.704532,27.863815,14
2423,100.141,27.24665,-1
2443,102.707319,25.051546,-1
2486,100.057983,26.735799,15
2555,100.149564,25.700937,16
2615,100.228013,25.714084,-1
2628,100.233421,26.87844,8
2646,102.7183,25.0389,17
2648,100.316162,21.728885,-1
2676,99.70465,27.863986,14
2752,102.711181,24.977344,18
2762,102.721777,25.01915,-1
2917,100.233421,26.87844,8
2944,100.216341,26.862668,19
3031,99.832763,26.672004,12
3085,99.584004,27.959154,-1
3135,102.699508,25.031172,20
3172,102.539863,24.348269,-1
3230,102.700272,25.050773,-1
3307,102.691268,25.053567,21
3327,99.835819,26.30495100000001,-1
3418,100.226211,26.871549,22
3421,99.933333,26.983333,-1
3449,99.704532,27.863815,14
3488,100.623779,21.94814,1
3536,100.233421,26.87844,8
3589,100.2315,26.875333,23
3614,100.59082,22.024545,24
3707,100.136818,25.857234,25
3743,98.624177,28.016958,-1
3777,104.411127,25.010266,-1
3835,102.708725,25.03668,-1
3944,100.146166,26.862333000000003,-1
4068,102.8046,25.076883,-1
4226,100.213165,25.585801,-1
4342,102.707748,25.044548,26
4403,101.846972,22.644502,-1
4428,100.158233,25.699855,-1
4468,100.623779,21.94814,1
4541,102.674789,25.051701,-1
4572,100.105734,25.900118,-1
4578,102.700538,25.051701,-1
4750,100.229301,26.873387,27
4751,102.832333,23.090833,28
4818,100.24005,26.873225,-1
5177,100.220031,26.883799,29
5322,103.323325,24.817966,-1
5618,103.380483,25.069141,-1
5649,101.996641,23.59054200000001,30
