photoId,longitude,latitude,clusterId
3,116.391213,39.912766,0
14,116.422523,40.224269,1
15,116.73709,39.880531,-1
16,116.269769,39.909143,-1
23,116.66398999999998,40.445379,2
60,116.403579,39.907119,3
66,116.38498,39.904975,-1
72,116.414008,39.901275,-1
75,116.394653,39.938698,4
92,116.506529,40.022041,5
103,116.554701,40.447511,-1
138,116.514719,39.994946,6
147,116.327362,39.940804,7
152,116.437522,39.96023,-1
172,116.39122,39.92435,-1
180,116.387958,39.92412,-1
193,116.375999,39.970666,8
219,116.391366,39.907777,0
220,116.38446,39.93892,-1
222,116.011833,40.356333,284
223,116.40653,39.884352,9
233,116.411476,39.916582,10
238,116.387811,39.937816,11
242,116.390179,39.991359,12
243,116.386842,39.937875,11
265,116.335584,39.904986,13
293,116.370875,39.985472,-1
311,116.391155,39.913297,0
319,116.390233,39.916517,0
370,116.390404,39.92342,0
389,116.328606,39.940146,14
407,116.404287,39.877007,15
418,116.855228,40.334081,16
431,116.395511,39.981592,17
451,116.452224,39.913686,-1
452,116.271228,39.98146,18
457,116.391692,39.89460800000001,19
466,116.402635,39.907514,-1
477,116.380748,39.938607,161
510,116.560997,40.4383,-1
515,116.369934,39.919216,20
537,116.384353,39.914476,21
548,116.554927,40.447166,-1
554,116.36856,39.920006,22
560,116.327362,39.940804,7
567,116.387908,39.90600900000001,23
570,116.4516,40.015438,-1
579,116.39096200000002,39.903559,0
597,116.301097,40.047131,24
607,116.37268,40.002371,25
614,116.309573,39.989007,-1
616,116.412568,39.899591,-1
617,116.441559,39.908616,-1
632,116.3768,39.915529,26
648,116.506886,40.456187,-1
649,116.383666,39.94133,27
685,116.333128,39.991169,-1
704,116.46152,39.930031,28
725,116.564498,40.431661,80
737,116.387829,39.904349,-1
751,116.401519,39.943765,-1
766,116.384482,39.931228,-1
802,116.405336,39.915944,29
803,116.059808,40.289416,30
852,116.406578,39.881963,31
884,116.012833,40.35,-1
890,116.33008,39.944913,32
902,116.30908,39.91204000000001,-1
911,116.390416,39.920463,0
927,115.570333,39.839166,33
935,116.38401,39.99527,-1
942,116.377924,39.929496,34
946,116.36856,39.913949,35
947,116.432666,39.923333,-1
949,116.490526,39.983236,36
970,116.390275,39.915332,0
976,116.326675,40.32106,-1
998,116.36002,39.918426,37
1011,116.217323,40.293697,-1
1019,116.553053,40.43636400000001,-1
1029,116.104202,40.047065,38
1039,116.471144,39.903319,39
1057,116.451301,39.93382800000001,-1
1090,116.391811,39.913633,0
1098,116.397228,39.93971,40
1114,116.430094,39.931969,-1
1129,116.392593,39.924877,41
1142,116.440116,39.944275,42
1164,116.393966,39.92198,43
1165,116.404137,39.879806,44
1166,116.400833,39.930405,-1
1167,116.39413799999998,39.917027,0
1177,116.404981,39.91994,-1
1194,116.274576,39.99850900000001,45
1196,116.243166,40.298333,46
1209,116.395511,39.90822100000001,47
1231,116.453591,39.91265,-1
1232,116.603565,40.078991,48
