photoId,longitude,latitude,clusterId
679,117.476806,40.713955,0
1421,117.192535,40.829917,-1
2280,117.935485,40.986442,-1
2425,115.946081,39.425554,-1
2851,117.93273899999998,40.97089,1
3221,114.514992,38.029495,-1
3232,118.188598,39.707,-1
3237,117.307891,40.896455,2
3460,115.388374,40.960715,3
4417,119.501911,39.816624,-1
4786,115.388374,40.960715,3
5197,119.7945,39.967167,-1
6444,117.476806,40.713955,0
6525,116.69096299999998,39.304389,-1
6526,117.93273899999998,40.97089,1
6787,119.187833,40.459861,-1
7365,115.388374,40.960715,3
7605,115.388374,40.960715,3
7785,119.536743,39.903738,-1
8016,117.07426,40.865367,-1
8309,119.483002,39.81268,-1
8325,119.703598,40.067299,-1
10090,117.95093500000002,40.99765,-1
10289,117.257766,40.685583,-1
10569,117.936908,40.990127,-1
10748,115.388374,40.960715,3
11104,114.651666,37.879166,-1
11243,115.938742,39.440146,-1
11376,119.165861,40.338694,-1
11804,115.946081,39.425554,-1
12221,114.521066,38.099002,-1
13313,117.159061,40.711548,-1
13451,117.476806,40.713955,0
13931,116.173038,40.86501,-1
13938,118.176467,39.621681,-1
14098,117.93273899999998,40.97089,1
15014,118.949416,40.406388,-1
15335,117.307891,40.896455,2
16043,115.388374,40.960715,3
16747,117.49053899999998,40.860109,-1
16978,119.524726,39.832465,-1
17194,116.640472,41.214304,4
17680,115.767059,40.322467,5
18289,114.577461,38.14565,-1
18372,114.530574,38.018405,-1
18546,117.07426,40.865367,-1
18957,117.331066,40.881138,-1
19470,118.037696,40.305248,-1
19594,115.767059,40.322467,5
20565,116.37268,38.352426,-1
21131,115.971594,39.485807,-1
22128,115.388374,40.960715,3
22174,117.351322,40.875103,-1
22601,115.388374,40.960715,3
24750,117.077742,40.797728,-1
25073,119.767333,39.952667,-1
25736,116.790847,41.17038400000001,-1
25869,119.795288,39.966725,-1
26288,117.691747,40.750788,-1
26711,117.350463,40.971603,6
27226,119.238888,40.489694,-1
27988,115.462333,38.872,-1
28145,114.748061,41.292691,-1
28235,117.307891,40.896455,2
28647,115.93842,39.439287,-1
28740,119.561669,39.906941,-1
29278,118.9575,40.406416,-1
30131,115.711097,39.532379,-1
30498,118.9575,40.406416,-1
30513,115.946467,39.425511,-1
30641,117.951536,40.174151,7
31653,115.388374,40.960715,3
31657,118.167657,39.674427,-1
31721,117.241,42.431166,-1
31823,115.94585,39.426148,-1
32161,116.640472,41.214304,4
32449,117.938146,40.967844,-1
32660,115.388374,40.960715,3
33055,119.703598,40.067299,-1
33144,117.07426,40.865367,-1
33153,117.946128,41.015397,-1
33672,114.46921299999998,38.050929,8
34041,117.331066,40.881138,-1
34245,115.22460900000002,40.5472,-1
34275,117.934112,41.010345,-1
34426,119.735322,40.03265800000001,-1
35132,119.756897,39.999199,-1
36056,119.724884,39.946595,-1
36604,117.337074,40.736982,-1
37026,118.187667,39.707721,-1
37134,117.935485,40.965381,-1
37826,117.476806,40.713955,0
38399,116.332683,39.26223,-1
38468,119.756455,40.008375,-1
39036,119.392417,39.780078,-1
39452,117.307891,40.896455,2
40850,114.855597,39.647472,-1
40901,119.525098,39.895437,-1
40944,117.631547,40.184936,-1
41162,116.332683,39.26223,-1
41312,114.496701,38.041791,-1
41437,118.165254,39.61111,-1
41789,115.388374,39.242987,-1
42437,117.935469,40.983594,-1
44755,118.957166,40.405111,-1
45490,114.458297,38.219111,-1
45509,115.401763,39.868641,-1
45720,116.173038,40.86501,-1
45839,119.483883,39.812555,-1
45871,115.388374,40.960715,3
45903,117.350463,40.971603,6
46132,114.906005,38.539572,-1
46451,118.166099,39.606029,-1
46745,117.967858,40.887852,-1
47179,118.957805,40.406555,-1
47613,116.640472,41.214304,4
48314,117.951536,40.174151,7
48825,115.72998,40.42186,-1
48880,118.227699,39.03511,-1
49730,115.388374,40.960715,3
50183,119.520166,39.890166,-1
51064,115.72998,40.42186,-1
51096,119.597221,39.931011,-1
51642,115.463172,41.000761,-1
51706,117.234708,40.676782,-1
52274,115.971937,39.485979,-1
52333,114.123315,37.769663,-1
52542,117.350463,40.971603,6
52768,114.743697,41.301505,-1
53950,119.615738,39.912425,-1
53961,118.173151,39.67337,-1
54806,117.350463,40.971603,6
55181,117.351322,40.875103,-1
55330,115.14307,40.596944,-1
55783,119.511883,39.814841,-1
56819,115.72998,40.42186,-1
57013,116.730666,39.567833,-1
57120,119.534511,39.902559,-1
57732,117.235222,40.678393,-1
57804,117.951536,40.174151,7
57978,114.530574,38.018405,-1
58571,115.962924,37.345664,-1
58823,117.307891,40.896455,2
59029,114.718809,38.366719,-1
60647,117.07426,40.865367,-1
61201,115.388374,40.960715,3
61234,118.315498,40.427829,-1
61722,117.93513,40.982155,-1
61723,117.331066,40.881138,-1
61799,115.94585,39.426148,-1
62028,115.793581,37.229781,-1
62112,116.69096299999998,39.304389,-1
62425,117.307891,40.896455,2
62666,114.856333,39.647408,-1
63519,117.95063,40.919483,-1
63579,116.173038,40.86501,-1
63627,116.986388,39.834733,-1
63865,119.616591,39.91300800000001,-1
64045,118.193031,39.641639,-1
64132,117.410202,40.729502,-1
64639,117.07426,40.865367,-1
64947,117.331066,40.881138,-1
64994,114.481666,38.039333,-1
65134,116.640472,41.214304,4
65143,117.003021,40.877993,-1
66630,119.795333,39.966667,-1
66925,119.417869,39.783626,-1
67004,117.938146,40.967844,-1
67043,117.307891,40.896455,2
68260,114.496701,38.041791,-1
68692,117.940905,40.990213,-1
69366,117.220344,40.713305,-1
69543,115.388374,40.960715,3
70196,119.240916,40.497916,-1
70291,119.183055,40.33375,-1
70795,119.753775,40.009327,-1
70843,118.726097,40.19667000000001,-1
70871,117.951536,40.174151,7
71376,117.381362,41.157461,-1
71845,115.957946,40.266952,-1
72298,119.605916,40.09525,-1
72329,115.938318,39.440407,-1
72400,117.938441,40.983205,-1
72931,119.482625,39.812741,-1
73147,116.015625,40.713955,-1
73244,115.767059,40.322467,5
73275,118.889404,39.231323,-1
73305,117.077741,40.797727,-1
73392,117.351322,40.875103,-1
74176,118.878694,40.334916,-1
74533,118.173151,39.67337,-1
74917,119.160718,39.704809,-1
74933,117.922805,40.183555,-1
75184,117.946128,41.015397,-1
75212,119.160166,40.361694,-1
75905,118.287048,40.420422,-1
76307,115.938764,39.440081,-1
76938,119.767333,39.952667,-1
77024,118.546112,40.406806,-1
77323,116.956672,39.78374,-1
77495,116.707833,39.533666,-1
78043,114.291541,37.04205,-1
78204,116.708,39.534,-1
78519,114.580047,38.149727,-1
79001,117.350463,40.865064,-1
79210,117.257766,40.685583,-1
79226,117.238283,40.684022,-1
79353,119.331436,39.69345,-1
79632,114.571122,39.577388,-1
79833,114.58226100000002,38.148983,-1
80463,119.187527,40.46075,-1
80881,116.257324,37.47485800000001,-1
81025,117.245407,40.694435,-1
81229,117.9675,40.888186,-1
81699,115.767059,40.322467,5
81822,117.268066,40.73477000000001,-1
82630,118.957194,40.405222,-1
83153,119.322509,39.816975,-1
83606,114.530574,38.018405,-1
83758,116.05871299999998,41.556116,-1
84156,119.4993,39.815836,-1
84340,118.175897,39.62340800000001,-1
84954,117.860588,40.977947,-1
84991,115.767059,40.322467,5
85343,117.93497,40.984433,-1
85434,117.429943,40.841606,-1
85547,117.951536,40.174151,7
86038,115.388374,40.960715,3
86166,117.938146,40.967844,-1
86316,117.476806,40.713955,0
86433,115.767059,40.322467,5
86690,116.332683,39.26223,-1
86900,115.982087,39.408367,-1
86977,119.756897,39.999199,-1
87822,119.18863799999998,40.474194,-1
87851,115.767059,40.322467,5
90069,115.388374,40.960715,3
90657,118.167486,39.626912,-1
