photoId,longitude,latitude,clusterId
43,113.387505,38.868461,-1
445,112.90512,38.002791,-1
1079,113.287582,40.091139,-1
1274,113.58928600000002,39.007719,-1
1432,113.602661,39.066758,-1
1741,112.188842,37.199979,-1
1841,113.590499,39.008333,0
2107,113.252048,38.711366,1
2772,113.032836,39.303487,2
3649,113.289642,40.088287,-1
3815,113.13018,40.109413,-1
3837,111.687011,36.822477,-1
4049,112.181825,37.204423,3
4724,113.387363,38.868572,-1
5847,112.177448,37.204516,4
6376,112.519397,37.849713,-1
6561,112.177448,37.204598,4
6683,112.181825,37.204423,3
7063,113.12828,40.111294,5
7091,113.53,38.082689,-1
7491,112.886833,35.50183300000001,-1
7636,113.387191,38.868961,-1
8060,113.283462,40.085163,6
8150,113.590499,39.008333,0
8204,112.177448,37.204516,4
8344,112.223752,37.57723,-1
9334,113.283462,40.085163,6
9602,112.547378,37.872075,7
11538,112.175148,37.202166,-1
11687,113.203125,40.098033,8
12736,112.181825,37.204423,3
12813,112.329711,37.267495,9
12911,113.288269,40.084113,-1
13358,112.155647,37.205175,-1
14183,113.292903,40.106765,10
14425,113.523405,39.031088,-1
15427,112.418975,37.731624,-1
15797,113.292903,40.106765,10
16060,112.558193,37.864622,-1
16701,113.526535,39.832268,-1
17071,112.563686,37.864825,-1
17651,113.3638,38.836231,11
18272,113.12721100000002,40.11023,-1
18667,113.203125,40.098033,8
18739,113.201751,40.13689,-1
18800,113.9886,40.436625,-1
18814,112.177619,37.204491,4
19257,113.139047,40.107191,-1
19586,112.329711,37.267495,9
20528,112.542743,37.869433,12
20825,113.12828,40.111294,5
21170,113.561725,37.869162,-1
21391,112.17779099999998,37.203397,-1
21456,112.542743,37.869433,12
23043,112.172813,37.202235,13
23289,112.430197,37.406255,-1
23459,113.122841,40.110052,14
24819,112.565917,37.588118,-1
25171,113.203125,40.098033,8
26358,112.176504,37.204423,-1
26552,112.17883,37.200136,-1
27907,113.633366,39.062225,-1
28645,113.71,39.65,-1
28674,112.180683,37.198455,-1
28910,113.219604,40.09908400000001,15
29833,112.547378,37.872075,7
29956,112.176504,37.204423,-1
30130,112.16423,37.199432,-1
30464,112.191975,37.20526,-1
31409,112.575874,37.885286,16
31801,113.387752,38.869072,-1
32043,112.181825,37.204423,3
32666,114.119813,40.511055,-1
32767,112.17579,37.201442,-1
32809,112.086231,37.563604,-1
32847,113.283462,40.085163,6
32862,112.172813,37.202235,13
32939,113.252048,38.711366,1
33722,111.687011,36.822477,-1
34568,112.177663,37.200333,-1
34670,112.182083,37.206542,17
35401,111.464568,36.805346,-1
35971,113.203125,40.098033,8
35978,113.121133,40.109955,-1
36034,112.425842,37.365791,-1
36041,113.679656,39.692129,-1
36329,112.172126,37.209413,-1
36905,112.542743,37.869433,12
37036,112.181825,37.204423,3
37266,112.038574,37.509725,18
38128,112.038574,37.509725,18
38327,112.576904,36.949891,-1
38653,112.038574,37.509725,18
39011,113.123672,40.110136,-1
39121,113.36118799999998,40.091105,-1
39772,112.885166,35.4985,-1
40845,113.360086,40.093844,-1
42139,112.542743,37.869433,12
42420,113.126008,40.110238,-1
42641,112.5255,37.864833,-1
42707,112.177448,37.204516,4
43352,112.178907,37.200731,-1
43962,113.884277,39.715638,-1
44021,112.551841,37.867535,-1
44200,113.71,39.65,-1
44924,112.329711,37.267495,9
45804,113.032836,39.303487,2
46727,113.293494,40.087463,-1
47164,113.126952,40.110052,-1
47324,113.661505,39.040688,-1
47899,113.292903,40.106765,10
48014,113.032836,39.303487,2
48458,113.616485,37.860759,-1
48774,113.12263,40.11013300000001,14
48892,112.177619,37.204491,4
48959,112.172813,37.202235,13
49457,112.060546,39.283293,-1
49659,113.125724,40.110202,-1
50745,112.998666,35.449,-1
50805,113.203125,40.094882,-1
50864,113.12828,40.111294,5
50979,113.70845,39.659372,-1
51677,113.203125,40.098033,8
52201,112.181825,37.204423,3
52362,113.30551,40.091771,-1
52385,113.35913,40.09125,-1
52736,113.171367,40.109194,-1
52877,112.177104,37.203944,-1
53131,112.542743,37.869433,12
53485,113.299255,40.103285,-1
54055,113.53,37.770714,-1
54081,112.182083,37.206542,17
54431,113.701629,39.668481,-1
55182,113.884277,39.715638,-1
55375,113.5639,39.07883,-1
56009,113.709998,39.667919,-1
56056,113.387408,38.868955,-1
56301,112.576904,36.949891,-1
56378,113.283462,40.085163,6
57576,113.590499,39.008333,0
58504,112.329711,37.267495,9
59164,113.122594,40.110177,14
59170,112.329711,37.267495,9
60112,112.180069,37.200197,-1
61409,112.542743,37.869433,12
61600,112.329711,37.267495,9
61817,112.17779099999998,37.203397,-1
62350,112.542743,37.869433,12
62861,113.709998,39.667919,-1
63227,112.038574,37.509725,18
63326,113.203125,40.094882,-1
63435,113.114547,39.027985,-1
63700,113.291061,40.092297,-1
63917,113.032836,39.303487,2
64324,110.721244,34.873538,-1
64909,112.575874,37.885286,16
65077,113.507161,38.967175,-1
65124,112.038574,37.509725,18
65139,112.177448,37.204516,4
65198,112.155647,37.205175,-1
65432,113.304104,40.093798,-1
65667,112.155475,37.203944,-1
65994,113.134263,40.107908,-1
66238,112.178844,37.204417,-1
66694,112.177104,37.203944,-1
66920,112.183284,37.201586,-1
67150,113.290297,40.092388,-1
67268,111.842021,36.89033,-1
67444,113.201751,40.13689,-1
67833,113.219604,40.09908400000001,15
68421,113.125644,40.110208,-1
68422,111.673278,36.815881,-1
68708,113.884277,39.715638,-1
68871,112.575874,37.885286,16
69192,112.42852,37.387781,-1
69303,112.172813,37.202235,13
69375,112.155475,37.203944,-1
69473,113.77898,40.381519,-1
69632,112.157363,37.203124,-1
70184,112.542743,37.869433,12
70203,112.575874,37.885286,16
71030,111.867333,36.896833,-1
72029,112.42852,37.387781,-1
73269,113.12828,40.111294,5
73476,112.316751,37.355694,-1
74258,113.244238,40.091311,-1
76092,113.33718799999998,40.08103,-1
76495,112.542743,37.869433,12
76522,112.576904,36.949891,-1
76888,113.3638,38.836231,11
77419,112.547378,37.872075,7
78121,112.157363,37.203124,-1
78125,111.43388799999998,39.640236,-1
78596,113.1257,40.11018,-1
78668,113.30551,40.091771,-1
79274,113.299255,40.103285,-1
80256,112.547378,37.872075,7
80394,113.356519,40.09188,-1
80911,113.251018,40.10683,-1
81440,112.176504,37.204423,-1
82181,113.12258,40.110158,14
82444,113.292903,40.106765,10
83506,113.122816,40.110058,14
83622,113.219604,40.09908400000001,15
83679,113.261763,40.086719,-1
84335,112.181825,37.204423,3
84451,112.541198,37.875124,-1
84594,112.329711,37.267495,9
85887,112.155647,37.205175,-1
85914,113.252048,38.711366,1
87774,113.600692,37.851543,-1
88861,112.329711,37.267495,9
88888,112.177963,37.204013,-1
89007,112.181396,37.19157,-1
89258,113.203125,40.098033,8
90187,112.182083,37.206542,17
90194,113.276019,40.085261,-1
90648,113.58404099999998,38.999842,-1
91406,112.329711,37.267495,9
91966,112.155647,37.205175,-1
92114,113.292903,40.106765,10
92262,112.157363,37.203124,-1
92290,113.281059,40.088972,-1
92781,112.177963,37.238255,-1
92913,112.329711,37.267495,9
94017,112.177619,37.204491,4
94369,113.301315,40.121009,-1
95417,113.261661,38.71746,-1
95573,112.183,37.205333,-1
95762,113.588848,38.995573,-1
96123,111.774902,38.44498400000001,-1
96507,113.032836,39.303487,2
96731,112.329711,37.267495,9
98241,112.177104,37.203944,-1
98555,113.18201100000002,39.565108,-1
98747,113.114547,39.027985,-1
99780,113.245861,40.090983,-1
