photoId,longitude,latitude,clusterId
90,121.642599,38.921623,0
328,121.606721,38.929101,-1
839,121.272833,38.8245,-1
1014,123.458976,41.83272,-1
1084,121.667777,38.928333,1
1360,123.450386,41.796858,4
1455,123.429851,41.80203,2
1739,123.761072,41.330443,-1
1752,121.671166,38.877166,3
1883,122.068748,41.143759,-1
2509,123.450822,41.796769,4
2698,123.4213,41.8495,-1
2982,123.457521,41.793472,-1
3204,123.422383,41.838053,-1
3483,123.429851,41.80203,2
3499,123.450763,41.796805,4
3518,121.587061,38.882466,5
3671,121.63762,38.915345,-1
4370,124.388055,40.116111,-1
4516,120.435089,41.576091,-1
4570,121.586723,38.879674,-1
5373,123.448219,41.797807,6
5596,121.600456,38.935511,-1
6449,123.400488,41.78183,-1
6535,121.642599,38.921623,0
6597,121.587061,38.882466,5
6677,121.670837,38.904392,7
6697,121.634,38.922166,-1
6762,124.343261,40.170478,-1
6940,123.429851,41.80203,2
7435,121.667777,38.928333,1
7484,121.646118,38.942855,-1
7661,121.610755,38.911272,-1
7920,121.586166,38.885319,8
8237,121.28786,38.963813,-1
8462,121.670837,38.904392,7
8614,121.667777,38.928333,1
9051,121.670837,38.904392,7
9438,123.436975,41.817384,-1
9484,123.448905,41.815593,9
10384,121.576595,38.974423,10
10422,121.28786,38.963813,-1
10684,121.56784,38.884084,-1
11141,121.581401,38.899917,-1
11458,123.450766,41.796869,4
11671,121.640453,38.931038,-1
11714,121.632736,42.007125,-1
11953,121.573466,39.0014,-1
12169,123.427743,41.780828,-1
12228,121.5135,38.8765,-1
12356,121.670837,38.904392,7
12398,121.667777,38.928333,1
12425,121.640453,38.931038,-1
12474,121.586166,38.885319,8
12662,121.601486,38.913075,-1
13073,121.22529,38.815301,-1
14083,123.768234,41.291763,-1
14157,121.671166,38.877166,3
14504,122.255601,40.682785,11
14539,122.255601,40.682785,11
14549,121.667777,38.928333,1
14648,121.667777,38.928333,1
14714,120.831756,39.070379,-1
15520,123.430259,41.759163,-1
15692,121.463333,38.904,-1
15794,121.5075,38.843833,-1
15849,123.250808,41.085044,-1
15926,121.576595,38.974423,10
