photoId,longitude,latitude,clusterId
44,118.119506,30.006084,0
507,118.486003,31.731087,-1
748,118.191825,30.131044,1
938,118.316059,29.712432,-1
1070,118.166702,30.1,2
1106,118.36481,31.342641,-1
1331,118.144226,30.18787,-1
1394,118.166702,30.1,2
1667,118.166702,30.1,2
2166,118.165355,30.127061,-1
2511,118.149719,30.094642,-1
3142,118.574066,29.93411,3
3430,118.166702,30.1,2
4712,118.137359,30.15640800000001,-1
4899,118.297665,29.710913,-1
5669,118.078308,29.741724,-1
5745,118.355197,31.35832700000001,-1
6811,118.013591,29.860073,-1
7452,118.301193,29.711642,-1
7557,118.150941,30.134069,-1
7581,118.421273,29.869367,-1
8143,118.485488,29.620624,4
8571,118.161306,30.091746,-1
8676,118.410994,29.517661,-1
9010,118.17301100000002,30.121186,5
9251,117.363102,32.9463,-1
9552,117.480411,30.651351,-1
9689,117.283258,31.857366,-1
10117,118.119506,30.006084,0
10474,118.218899,30.10296,6
10721,118.166702,30.1,2
12128,118.394333,29.534711,-1
12513,118.161563,30.124491,7
12580,118.316059,29.712432,-1
12635,117.278795,31.856355,8
13065,118.119506,30.006084,0
13223,118.1625,30.1275,-1
13228,118.36481,31.342641,-1
13316,117.077833,30.504,-1
13440,118.305858,29.709516,-1
13472,118.3,29.666666,-1
13707,117.221707,31.819394,-1
13852,118.172206,30.093677000000003,9
13942,118.166702,30.1,2
14422,118.786598,30.63125,-1
14551,118.154527,30.142925,-1
15139,118.119506,30.006084,0
15534,118.177528,30.100732,10
15936,118.306789,29.682683,-1
16012,118.02131599999998,30.611913,11
16047,118.165625,30.121107,-1
16303,117.476806,30.647659,-1
16441,117.196419,31.78128,-1
16669,117.150666,33.494999,-1
16914,118.180563,30.126522,-1
16955,118.165298,30.14429,12
17180,118.02131599999998,30.611913,11
17182,118.17025,30.124647,-1
17771,118.170683,30.137947,-1
17878,118.574066,29.93411,3
18044,118.165663,30.146297,-1
18075,117.984924,30.001178000000003,-1
18078,118.126373,30.25966,13
