photoId,longitude,latitude,clusterId
280,110.42221,25.174805,0
522,110.379847,24.868376,-1
600,110.48212,24.770369,1
683,110.488643,24.780344,2
687,110.503925,24.766563,-1
747,110.290203,25.277375,-1
921,110.48528799999998,24.778236,-1
1179,110.333375,25.049991,-1
1303,110.497805,24.787494,-1
1366,110.52246,23.513626,-1
1397,111.516036,24.418548,3
1557,110.488128,24.778864,4
1905,110.418005,24.838075,-1
1941,110.282478,25.283816,5
2010,110.480004,24.776944,-1
2326,110.488643,24.780344,2
2814,110.290546,25.280091,6
2824,111.313544,23.474066,-1
2961,110.297194,25.301666,-1
2966,110.28416599999998,25.290333,7
3073,108.319702,22.824051,8
3111,110.495166,24.777383,9
3464,106.618194,23.906319,-1
3773,110.488128,24.778864,4
3782,110.43045,25.152743,-1
3928,110.245056,25.391179,10
4023,109.205947,21.645686,-1
4067,110.492447,24.780475,55
4128,110.324535,25.171232,-1
4305,110.415344,25.126635,-1
4379,110.278358,25.285058,-1
4474,110.279211,25.264541,-1
4532,110.488643,24.780344,2
4548,110.278701,25.283196,11
4553,110.488643,24.780344,2
4646,110.287559,25.295178,12
4674,110.211364,25.864166,-1
5246,110.271148,25.270643,-1
5298,110.448646,25.07798,-1
5316,110.823333,22.8525,-1
5413,110.488643,24.780344,2
5510,110.482292,24.773876,13
5600,108.319702,22.824051,8
5690,110.42221,25.174805,0
5714,110.294894,25.286122,-1
5752,110.552982,24.783488,-1
5781,110.448305,24.759916,-1
5816,110.38393,23.553129,-1
5935,109.204675,21.646213,-1
5974,111.227989,24.25792,14
5999,110.28416599999998,25.290333,7
6140,110.509991,24.768244,-1
6408,107.014389,22.252559,-1
6620,110.296211,25.261774,-1
6739,110.28968799999998,25.278694,15
6808,110.48212,24.770369,1
7042,110.47731,24.77511,16
7358,110.578866,24.751861,-1
7378,110.276298,25.2791,17
7397,110.38393,23.553129,-1
7447,110.383944,24.865972,-1
7448,110.286583,25.277536,-1
7911,110.517975,24.778727,-1
7927,108.319702,22.824051,8
7972,110.283164,25.272175,-1
8057,110.277328,25.2863,18
8180,110.48624,24.774577,19
8373,110.528383,24.916798,-1
8555,106.75415,22.907803,-1
8566,109.234313,24.279516,20
8587,110.296211,25.261774,-1
8607,110.29711100000002,25.301777,-1
8664,110.467845,24.727885,-1
8682,110.515766,24.924944,-1
8853,110.490875,24.780934,-1
9352,110.447273,25.053567,-1
9418,110.461722,24.768194,-1
9891,110.488643,24.780344,2
9897,110.488643,24.780344,2
9950,110.245056,25.391179,10
10039,110.456886,25.004494,-1
10047,110.387,24.866222,-1
10248,110.488643,24.780344,2
10264,106.728847,22.854036,-1
10331,110.263076,25.307926,-1
10377,106.755,22.110277,-1
10461,110.49275,24.7793,-1
10485,110.294494,25.134095,21
10633,110.282478,25.283816,5
10654,110.42221,25.174805,0
10677,110.276298,25.2791,17
11278,107.033271,22.256372,-1
11325,109.273133,22.690536,-1
11430,110.492388,24.77974,55
11481,110.518105,24.92465,-1
11508,110.282478,25.283816,5
11551,110.581138,24.736322,-1
11620,108.18985,22.836313,-1
11815,110.488986,24.77223900000001,22
11948,108.316612,22.824447,-1
11961,110.080862,25.729704,-1
12073,110.387152,24.866477,-1
12300,110.489652,24.77810400000001,23
12496,110.440702,24.737221,-1
12651,110.299305,25.274391,24
12726,108.319702,22.824051,8
12782,110.50591599999998,24.77088,25
12833,108.35236,22.809415,-1
13088,110.299305,25.274391,24
13177,110.387111,24.866333,-1
13229,108.27713,22.834572,-1
13604,110.496682,24.778433,26
13702,110.430572,24.776938,-1
13722,110.228942,24.776759,-1
13969,110.263595,25.261815,27
13990,110.412597,25.020906,-1
14015,110.488643,24.780344,2
14092,110.488643,24.780344,2
14158,110.492248,24.782682,-1
14167,108.017578,23.160563,-1
14278,110.352172,25.284437,-1
14318,110.505035,24.92139,-1
14345,110.263595,25.261815,27
14408,108.1909,22.838669,-1
14452,110.496883,24.776487,-1
14467,108.317,22.8167,-1
14698,108.419719,22.828405,28
14721,110.488643,24.780344,2
14826,110.288314,25.297319,29
14849,110.44075,25.038327,-1
14867,110.393857,24.811678,-1
14907,110.282478,25.283816,5
14966,110.467277,24.746611,-1
14987,110.28416599999998,25.290333,7
15028,108.41573,22.825883,-1
15072,110.488643,24.780344,2
15112,110.402666,24.803666,-1
15151,110.136038,25.78285,-1
15195,110.486068,24.797331,-1
15382,108.4196,22.828358,28
15469,110.29973,24.820622,-1
15536,110.28968799999998,25.278694,15
15573,108.301252,22.724886,30
15725,110.387194,24.86525,-1
16042,110.159397,22.639362,-1
16105,106.713055,21.978055,-1
16155,109.113636,21.045573,31
16215,109.088144,21.014286,-1
16267,110.286763,25.277708,-1
16278,110.488643,24.780344,2
16374,110.279903,25.282264,32
16553,110.48624,24.774577,19
16617,110.615844,24.630789,-1
16711,110.525386,24.918966,-1
16744,110.278015,25.284592,-1
16872,108.332,22.826666,-1
16874,110.28968799999998,25.245006,33
16915,109.130249,21.492541,-1
16918,109.123764,21.491807,-1
17015,110.485725,24.776759,34
17140,110.355606,25.198106,-1
17176,108.317985,22.82144,35
17294,108.194555,22.841524,-1
17359,110.062271,25.764401,-1
17372,110.484425,24.776772,-1
17493,110.273208,25.246559,-1
17561,110.280761,25.284437,-1
17570,110.579955,24.741102,-1
17755,110.277328,25.2863,18
17829,110.488643,24.780344,2
17929,110.271148,25.2596,36
17942,110.490555,24.7775,23
17993,110.42221,25.174805,0
18055,110.456886,25.004494,-1
18347,110.362472,25.188476,37
18432,110.508722,24.774416,-1
18589,110.522201,24.918666,-1
18665,110.490875,24.780934,-1
18922,110.496682,24.778433,26
18954,110.289366,25.280673,-1
18983,110.379416,24.86775,-1
19219,110.427188,25.182418,-1
19248,110.27938799999998,25.280896,38
19418,111.329722,23.504722,-1
19484,109.234313,24.279516,20
19490,110.263767,25.304691,-1
19724,110.214328,25.36109,-1
19756,111.276138,23.480319,-1
19875,108.189375,22.836572,-1
19924,110.557136,24.776759,-1
20148,110.375944,25.29975,-1
20189,110.4955,24.7775,9
20367,110.485725,24.776759,34
20404,110.487111,24.943561,-1
20417,108.4196,22.828358,28
20444,110.279045,25.283661,39
20452,110.062271,25.764401,-1
20497,110.483322,24.775824,-1
20522,110.38393,23.553129,-1
20724,110.491561,24.7805,-1
21009,108.317985,22.82144,35
21507,110.387666,24.865333,-1
21714,110.482892,24.77641400000001,-1
21763,110.43388799999998,24.644527,-1
21943,110.266342,25.281333,-1
21977,109.205872,21.645655,-1
22147,110.278015,25.287542,-1
22545,110.492248,24.782682,-1
22589,110.284881,25.289404,40
22612,110.305269,25.256561,-1
22791,110.289001,25.288162,-1
23098,110.503666,24.801091,-1
23216,110.264282,25.309269,-1
23331,110.495166,24.777383,9
23348,108.4196,22.828358,28
23410,108.319702,22.824051,8
23571,110.4469,24.979363,-1
23582,110.121116,25.760165,41
23691,110.062271,25.764401,-1
23828,110.279903,25.282264,32
23840,110.284881,25.289404,40
24136,110.484695,24.772395,-1
24397,110.362472,25.188476,37
24502,109.99501,25.7922,-1
24529,110.42221,25.174805,0
24748,110.47558,24.845786,-1
25004,110.407104,25.126635,-1
25072,109.209052,21.594508,-1
25335,110.280761,25.284437,-1
25344,109.113636,21.045573,31
25384,110.289001,25.288162,-1
25478,106.755,22.110833,-1
25517,110.502594,24.817261,-1
25518,110.486068,24.77223900000001,42
25532,110.486068,24.77223900000001,42
25658,110.27938799999998,25.280896,38
25904,111.516036,24.418548,3
26122,110.271148,25.2596,36
26124,110.279045,25.283661,39
26192,110.42221,25.174805,0
26426,110.409851,25.18133,-1
26551,110.28968799999998,25.245006,33
26582,110.48212,24.770369,1
26740,110.28016,25.281178,-1
26777,110.314,25.273333,-1
26974,109.99501,25.7922,-1
27068,110.1,25.733333,-1
27270,108.189858,22.836305,-1
27383,108.317985,22.82144,35
27489,110.488128,24.778864,4
27496,106.711944,21.975833,-1
27720,106.807022,22.819225,-1
27823,110.299923,25.290326,-1
27858,110.469763,24.947091,-1
27945,110.288314,25.297319,29
27955,108.397893,22.820096,-1
28132,111.125249,25.478947,-1
28486,110.488128,24.778864,4
28690,110.488643,24.780344,2
29066,110.488128,24.778864,4
29160,110.488643,24.780344,2
29181,110.38393,23.553129,-1
29316,110.28968799999998,25.245006,33
29456,110.284795,25.279625,43
29656,109.234313,24.279516,20
29761,108.4196,22.828358,28
29807,106.755,22.110833,-1
29822,109.46228,25.656382,-1
29838,110.48263500000002,24.772473,-1
30157,111.317666,23.476999,-1
30174,106.875,24.686952,-1
30258,110.530925,24.917839,-1
30289,110.42221,25.174805,0
30499,110.45141,24.997991,-1
30550,110.493152,24.780191,55
30569,109.380569,24.302672,-1
30579,110.495338,24.772863,-1
30983,108.19335900000002,22.816694,-1
31301,110.271148,25.2596,36
31508,110.392684,24.813069,-1
31658,110.490102,24.777616,23
31840,110.01708899999998,25.344026,-1
31871,110.362472,25.188476,37
