photoId,longitude,latitude,clusterId
57,109.478502,18.231633,0
1024,109.622097,18.231797,-1
1034,109.616775,18.328047,1
1488,109.735565,18.342794,2
1691,109.663521,18.235541,-1
2454,109.622999,18.228666,3
2590,109.496097,18.246959,-1
3226,110.30548,19.996579,-1
4050,109.234313,18.310203,4
4616,109.511718,18.999802,5
4680,109.623166,18.228666,3
4992,109.511718,18.999802,5
5120,109.493608,18.230196,6
5262,109.735565,18.342794,2
5339,109.234313,18.310203,4
5364,109.476699,18.272879,7
5497,109.534635,18.210763,-1
5742,109.511718,18.999802,5
5954,109.511718,18.999802,5
6038,109.234313,18.310203,4
6281,109.511718,18.999802,5
6801,109.616775,18.328047,1
6911,110.30548,19.996579,-1
6982,109.516181,18.22291,8
7707,109.473094,18.275976,-1
7934,109.654541,19.029665,-1
8640,109.49698,18.234555,-1
8667,109.234313,18.310203,4
8900,109.483737,18.269456,9
9997,109.735565,18.342794,2
10218,109.234313,18.310203,4
10416,109.49698,18.234555,-1
10810,109.516181,18.22291,8
11358,109.78061,18.401658,-1
11912,109.625836,18.225097,-1
12071,109.632139,18.230818,-1
12279,109.735565,18.342794,2
13063,109.500045,18.253235,10
13136,109.616775,18.328047,1
13194,109.500045,18.253235,10
13304,109.516181,18.22291,8
13456,109.3685,18.290166,-1
13773,109.234313,18.310203,4
13799,109.511718,18.999802,5
14624,110.368652,20.084308,11
14770,109.511718,18.999802,5
14812,109.735565,18.342794,2
15212,109.478502,18.231633,0
15219,110.314579,20.055528,-1
15568,109.622097,18.223563,-1
16358,109.476699,18.272879,7
16438,110.326681,20.036096,-1
16563,109.500045,18.253235,10
16762,109.616775,18.328047,1
17366,110.368652,20.084308,11
17393,109.500045,18.253235,10
17821,109.49698,18.234555,-1
18015,109.735565,18.342794,2
18157,109.735565,18.342794,2
18474,110.321445,20.044320000000006,-1
18489,109.367486,18.244852,-1
18643,109.234313,18.310203,4
19556,109.706382,18.214676,-1
19917,109.511718,18.999802,5
20438,109.500045,18.253235,10
20970,109.478502,18.231633,0
21390,110.368652,20.084308,11
21434,109.516181,18.22291,8
22228,109.639949,18.231633,-1
22738,109.483737,18.269456,9
22795,109.83457,19.958384,-1
23984,109.616775,18.328047,1
24232,109.441841,18.287588,-1
24700,109.530858,18.208398000000006,-1
25142,110.368652,20.084308,11
25452,109.428634,18.28983,-1
26368,110.30548,19.996579,-1
26632,109.511718,18.999802,5
26672,109.234313,18.310203,4
27160,109.511718,18.999802,5
28349,109.513092,18.225764,-1
28570,109.500045,18.253235,10
28843,109.735565,18.342794,2
29327,109.511718,18.999802,5
30015,109.500045,18.253235,10
30526,109.634971,18.231063,12
30770,109.500045,18.253235,10
31454,109.500045,18.253235,10
32182,109.418334,18.276302,-1
33129,109.511718,18.999802,5
33876,109.511718,18.999802,5
33914,109.511718,18.999802,5
33976,109.735565,18.342794,2
34079,109.623166,18.228499,3
34370,110.297241,20.024967,-1
34640,109.483737,18.269456,9
34731,109.234313,18.310203,4
35094,109.483737,18.269456,9
35579,109.234313,18.310203,4
35637,109.500045,18.253235,10
35760,109.511718,18.999802,5
37161,109.234313,18.310203,4
37164,109.456787,18.205871,-1
37691,109.625836,18.225097,-1
37808,109.500045,18.253235,10
38315,109.500045,18.253235,10
38350,109.735565,18.342794,2
38714,110.456886,19.939787,-1
39064,109.234313,18.310203,4
39138,109.511718,18.999802,5
39975,109.511718,18.999802,5
40102,109.493608,18.230196,6
40178,110.30754,20.002225,-1
40244,109.616775,18.328047,1
40438,109.634971,18.231063,12
40643,109.234313,18.310203,4
40745,109.20873600000002,18.291786,-1
41383,110.368652,20.084308,11
41406,109.500045,18.253235,10
41926,109.516181,18.22291,8
42070,109.429321,18.291949,-1
42262,109.623166,18.228666,3
42608,109.483737,18.269456,9
43121,109.511718,18.999802,5
43218,109.739953,18.347033,-1
43983,109.234313,18.310203,4
44084,109.476699,18.272879,7
44838,109.631012,18.225906,-1
45436,109.4458,18.31281,-1
45908,109.633855,18.22984,-1
46112,110.37551100000002,20.022129,-1
46657,109.429321,18.291949,-1
47029,109.735565,18.342794,2
47961,109.511718,18.999802,5
48161,109.201527,18.288322,-1
48358,109.234313,18.310203,4
48487,109.234313,18.310203,4
48773,109.500045,18.253235,10
48810,109.735565,18.342794,2
48903,110.368652,20.084308,11
48908,109.473094,18.275976,-1
49187,109.4458,18.31281,-1
49253,109.500045,18.253235,10
49291,109.368,18.289833,-1
49918,109.735565,18.342794,2
50420,109.616775,18.328047,1
50679,109.500045,18.253235,10
50768,110.368652,20.084308,11
50774,109.511718,18.999802,5
50844,110.32608,20.050367,-1
52097,109.418334,18.276302,-1
52315,109.476699,18.272879,7
52360,109.500045,18.253235,10
52738,110.368652,20.084308,11
53418,109.473094,18.275976,-1
54435,109.644434,18.22875,-1
54634,109.208049,18.292683,-1
55002,109.511718,18.999802,5
55342,109.493608,18.230196,6
56529,109.511718,18.999802,5
56733,109.370366,18.294661,-1
56940,109.735565,18.342794,2
57460,109.511718,18.999802,5
58029,109.633855,18.22984,-1
58446,109.500045,18.253235,10
59470,109.476699,18.272879,7
59953,109.234313,18.310203,4
60270,109.622833,18.228666,3
60539,109.234313,18.310203,4
60615,109.735565,18.342794,2
61175,110.675239,20.060446,-1
62711,110.368652,20.084308,11
63007,109.624667,18.2295,-1
63325,109.500045,18.253235,10
63331,109.654833,18.233166,-1
63662,109.511718,18.999802,5
63694,110.802268,19.791418,-1
63828,109.511718,18.999802,5
64741,109.759769,18.315092,-1
65344,110.368652,20.084308,11
68342,109.631012,18.225906,-1
68959,109.516181,18.22291,8
69004,109.511718,18.999802,5
69014,109.493608,18.230196,6
69367,109.234313,18.310203,4
69722,109.617805,18.221932,-1
70460,109.500045,18.253235,10
70817,109.735565,18.342794,2
70962,109.49438,18.230085,-1
71413,110.303208,20.038016,-1
71488,109.476699,18.272879,7
71674,109.500045,18.253235,10
71932,109.511718,18.999802,5
72200,109.368166,18.289333,-1
72661,109.634971,18.231063,12
72845,110.368652,20.084308,11
73094,109.654541,19.029665,-1
73451,109.735565,18.342794,2
73724,109.638061,18.231797,-1
74030,109.234313,18.310203,4
74127,109.1897,18.284508,-1
74145,109.234313,18.310203,4
74189,110.572394,19.14288,-1
74359,109.521331,18.240438,-1
74748,109.653677,18.235247,-1
74931,109.663521,18.235541,-1
75298,109.367833,18.289833,-1
75739,110.342645,20.071894,-1
75788,109.234313,18.310203,4
76136,109.500045,18.253235,10
76453,109.493608,18.230196,6
76840,109.500045,18.253235,10
76892,109.516181,18.22291,8
77072,109.511718,18.999802,5
77174,109.234313,18.310203,4
77189,109.4458,18.31281,-1
77365,110.368652,20.084308,11
77506,109.735565,18.342794,2
